geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,NSCLC,SCLC
JKAMP,8.614298957,-0.132604381,0.137275594,-0.965972003,0.33405819,0.866900748,0,0
COBL,18.46314323,-0.391945393,0.405789175,-0.965884299,0.33410208,0.866900748,0,0
HAT1,9.258947076,0.157928756,0.163512002,0.965854213,0.334117136,0.866900748,0,0
WBSCR17,2.33731309,0.716548368,0.74190743,0.965819103,0.334134708,,0,0
C2CD4A,1.517556125,-0.528310558,0.547065818,-0.965716631,0.334185995,,0,0
PTPLAD1,12.72064361,0.174828892,0.181036372,0.965711421,0.334188603,0.866900748,0,0
RABGEF1,22.73508653,-0.173660638,0.179870354,-0.965476711,0.334306095,0.866900748,0,0
TEAD1,48.31248687,0.238290265,0.246828539,0.965408077,0.334340457,0.866900748,0,0
USP1,6.801102214,-0.13214714,0.136907282,-0.965230907,0.33442917,0.866900748,0,0
CHN2,15.02852499,-0.391266132,0.405372901,-0.965200513,0.33444439,0.866900748,0,0
THAP1,2.006341541,0.207966335,0.215474444,0.965155454,0.334466955,,0,0
RELL2,0.318967008,-0.54927806,0.569116894,-0.96514102,0.334474184,,0,0
SWAP70,18.59310293,-0.216224755,0.22408676,-0.964915351,0.334587212,0.866988912,0,0
BAIAP2L2,1.540552054,-0.481686633,0.499259998,-0.964801175,0.334644407,,0,0
IPO4,4.902317331,0.190766138,0.197739345,0.964735362,0.334677379,,0,0
CHRDL1,2.561192967,0.305430722,0.316787435,0.964150367,0.334970544,,0,0
IRF2BPL,7.497672571,0.155044417,0.16082748,0.964041824,0.335024958,0.867649148,0,0
PPP2R5C,57.24426639,-0.155532559,0.161345458,-0.963972342,0.335059793,0.867649148,0,0
DNAJB1,16.0211512,0.213351328,0.221461337,0.963379572,0.335357074,0.868136831,0,0
GOLT1A,3.711874656,-0.402817274,0.418143667,-0.963346584,0.335373623,,0,0
ASPG,0.675240939,-0.80163099,0.832233731,-0.96322819,0.335433021,,0,0
TTC29,0.465754843,1.222287641,1.268956617,0.96322256,0.335435846,,0,0
SPICE1,5.966738649,-0.203035284,0.210814054,-0.963101276,0.335496702,0.868216213,0,0
WAC,60.48849543,0.230663553,0.239663233,0.962448641,0.33582429,0.868620864,0,0
ALPL,19.26429726,0.371080746,0.385603094,0.962338611,0.33587954,0.868620864,0,0
ARHGAP11A,2.980572159,0.229166066,0.238329324,0.961552116,0.336274634,,0,0
SCNM1,6.017420374,0.254522707,0.264704085,0.961536755,0.336282354,0.868620864,0,0
NDUFA1,37.78839109,0.20194507,0.21003927,0.961463397,0.336319221,0.868620864,0,0
PAEP,1.118967246,-1.322992105,1.376157121,-0.961367045,0.336367648,,0,0
BMP6,4.075060878,-0.6829334,0.710497125,-0.961205016,0.336449095,,0,0
BMPR1A,25.87443716,-0.15251332,0.15868984,-0.961078038,0.336512931,0.868620864,0,0
CDC37L1,6.907246467,-0.142439693,0.148217196,-0.961020023,0.3365421,0.868620864,0,0
DACT2,0.697701161,0.760990841,0.791954601,0.960902103,0.336601393,,0,0
PACS1,54.73870071,0.238316372,0.248024109,0.960859703,0.336622715,0.868620864,0,0
RND1,5.008939312,0.394013937,0.410082434,0.960816422,0.33664448,,0,0
PYROXD1,6.903695501,0.15865626,0.165153623,0.960658668,0.33672382,0.868620864,0,0
ZNF646,2.581214129,-0.192778891,0.200675021,-0.960652152,0.336727097,,0,0
LOC151534,0.350677083,0.54877395,0.571359982,0.960469699,0.336818874,,0,0
LOC285033,0.320524693,0.599438859,0.624112218,0.96046647,0.336820498,,0,0
TNPO3,14.17584614,-0.143308461,0.149217052,-0.960402708,0.336852576,0.868620864,0,0
ZNF484,3.329095735,-0.156550442,0.163016671,-0.960333943,0.336887172,,0,0
COX4NB,2.548814625,0.400670086,0.417244547,0.960276387,0.336916131,,0,0
APBA3,2.648287225,0.19527098,0.203366086,0.960194415,0.336957377,,0,0
CSPP1,17.87268247,0.142711032,0.148628594,0.960185575,0.336961825,0.868620864,0,0
FBXO16,0.933769878,0.45046621,0.469145254,0.960184947,0.336962142,,0,0
GRPEL2,3.004415323,-0.167658197,0.174611452,-0.9601787,0.336965285,,0,0
OTUD4,18.29788812,-0.157091272,0.163614426,-0.960130937,0.33698932,0.868620864,0,0
PGLS,7.188983013,-0.145323028,0.151413194,-0.959777834,0.337167041,0.868620864,0,0
UBE2F-SCLY,5.673562804,0.211131169,0.22000162,0.959680067,0.337216258,0.868620864,0,0
VDAC2,18.06499016,0.210357237,0.219204553,0.959638995,0.337236936,0.868620864,0,0
PYROXD2,5.896188288,-0.314935846,0.328216458,-0.959537034,0.337288272,0.868620864,0,0
RBM12,2.917847528,0.535833306,0.55850635,0.959404142,0.337355189,,0,0
LOC149837,0.403966964,0.626199732,0.652967101,0.959006559,0.337555441,,0,0
TMCO1,18.05213946,-0.187973454,0.196028249,-0.958910028,0.337604072,0.868814305,0,0
MAP4K3,52.36688117,-0.169737118,0.17701221,-0.958900618,0.337608813,0.868814305,0,0
PC,5.131775398,0.263834188,0.275150602,0.958871929,0.337623268,,0,0
ADAP2,4.65813027,-0.215848115,0.225145366,-0.958705565,0.337707094,,0,0
FAM200B,4.790392442,0.17917663,0.186914489,0.95860214,0.337759214,,0,0
AAGAB,10.35349396,-0.146980625,0.153332602,-0.958573868,0.337773462,0.868814305,0,0
SYNGAP1,2.280219369,-0.635522145,0.663013498,-0.958535756,0.337792671,,0,0
RPS16,66.97193671,0.155083016,0.161793881,0.95852213,0.337799538,0.868814305,0,0
CCDC77,1.366506326,-0.413324004,0.431347993,-0.958214738,0.337954487,,0,0
MAP1A,3.188219906,-0.191223191,0.19959187,-0.958071042,0.338026937,,0,0
GEM,14.53388918,-0.234897362,0.245184351,-0.958043859,0.338040643,0.86915387,0,0
ESAM,4.579788045,0.260008807,0.271399481,0.958029863,0.3380477,,0,0
CCL22,0.899461188,-0.365769775,0.381803866,-0.958004377,0.338060551,,0,0
FAM134B,3.407448489,0.333621789,0.348307575,0.957836729,0.338145095,,0,0
SLC5A1,0.750396161,1.039937208,1.085805177,0.957756723,0.338185447,,0,0
ZNF549,1.590277025,-0.223473357,0.233356224,-0.957649012,0.338239776,,0,0
WASH1,3.063931002,0.411881296,0.430147912,0.957534106,0.33829774,,0,0
DSC2,7.140016825,0.222466373,0.232335405,0.957522479,0.338303606,0.869549398,0,0
CMC2,3.477182995,-0.681374,0.711634522,-0.95747744,0.338326328,,0,0
PKIB,2.714749608,-0.35577759,0.371579569,-0.9574735,0.338328316,,0,0
SNAPC4,5.264306626,0.186830996,0.195146851,0.957386681,0.338372119,,0,0
BTF3L4,11.81728715,-0.180695574,0.188870172,-0.956718427,0.338709395,0.870043228,0,0
SMARCD3,2.719381415,0.254204322,0.265751865,0.956547648,0.338795624,,0,0
VCPIP1,5.107507442,-0.136187058,0.142375359,-0.956535313,0.338801852,,0,0
MANEAL,1.94204512,0.336931011,0.352248291,0.95651567,0.338811771,,0,0
CTNNAL1,5.349013386,0.201707424,0.210879296,0.956506533,0.338816385,0.870043228,0,0
SECISBP2,16.44460521,0.127848218,0.133674453,0.956414745,0.338862738,0.870043228,0,0
TEX10,8.690243412,-0.126054508,0.131868671,-0.955909442,0.339117988,0.870043228,0,0
SHC2,3.331638547,-0.320108182,0.334952821,-0.955681402,0.339233221,,1,1
AAK1,33.41954372,-0.167257292,0.175021361,-0.955639306,0.339254496,0.870043228,0,0
LTC4S,0.40249353,-0.604692596,0.63277677,-0.955617565,0.339265484,,0,0
RNF121,6.73245904,0.178211335,0.186492428,0.955595551,0.33927661,0.870043228,0,0
FBXO11,31.25718544,0.126367166,0.132242873,0.95556882,0.339290121,0.870043228,0,0
ADRBK2,37.24659213,0.239008029,0.250184775,0.955326036,0.339412845,0.870043228,0,0
PICK1,5.301267285,0.146056071,0.152911498,0.955167354,0.339493072,0.870043228,0,0
C1ORF130,1.047026596,0.603553512,0.632396553,0.954390895,0.339885813,,0,0
PAPD5,8.675148395,0.220002237,0.230531319,0.95432689,0.339918201,0.870043228,0,0
PBK,1.052080624,0.419117501,0.439186382,0.954304409,0.339929577,,0,0
IL2RB,1.714599225,0.258574074,0.270980121,0.954217869,0.339973372,,0,0
RAB31,43.74983067,0.263610617,0.276281397,0.954138134,0.340013726,0.870043228,0,0
C17ORF62,10.25137408,0.153566354,0.160955733,0.954090613,0.340037777,0.870043228,0,0
PITHD1,6.791557166,0.12937871,0.135609091,0.954056316,0.340055137,0.870043228,0,0
STK32B,1.10006914,0.666370019,0.69857722,0.953896005,0.340136286,,0,0
MAP1LC3B2,2.519959012,-0.486903174,0.510456981,-0.953857412,0.340155824,,0,0
C11ORF93,0.686686328,0.756651102,0.793258499,0.95385187,0.340158629,,0,0
SYTL1,9.626649198,0.154211616,0.161684991,0.953778178,0.340195937,0.870043228,0,0
KIAA1737,2.506005538,0.359895004,0.377358239,0.953722395,0.340224181,,0,0
LINC00482,0.292111123,-0.987008683,1.034935501,-0.95369101,0.340240072,,0,0
LOC723809,2.842101896,0.761631941,0.798778199,0.953496154,0.340338744,,0,0
UPF3A,7.512239573,0.150074403,0.15741829,0.953347942,0.340413808,0.870043228,0,0
ZFYVE20,5.451912262,0.16924046,0.177545178,0.95322476,0.340476204,0.870043228,0,0
PA2G4,14.61660116,0.147777409,0.155039416,0.953160255,0.34050888,0.870043228,0,0
TADA1,4.612466608,0.142509427,0.149530703,0.953044589,0.34056748,,0,0
CMTM4,10.88435577,0.23156683,0.243012844,0.952899551,0.340640968,0.870043228,0,0
CNPY4,1.446761605,-0.230714712,0.242154187,-0.95275954,0.340711919,,0,0
C5ORF38,2.767203482,-0.515006715,0.54055223,-0.952741819,0.340720899,,0,0
TBC1D24,4.894066292,0.159865763,0.167797443,0.952730627,0.340726572,,0,0
GTF3C3,10.19825985,0.131195816,0.137714411,0.952665842,0.340759405,0.870043228,0,0
KPNA3,13.10085771,-0.169809065,0.178263664,-0.952572501,0.340806716,0.870043228,0,0
ZKSCAN3,3.099179253,0.188532867,0.19792236,0.952559713,0.340813197,,0,0
CAP1,33.90742067,-0.152057505,0.159632706,-0.952546057,0.340820119,0.870043228,0,0
TSC22D3,42.38910788,-0.229847022,0.241336447,-0.952392501,0.340897961,0.870043228,0,0
KCTD7,1.664308788,-0.21607437,0.226886908,-0.952343931,0.340922585,,0,0
TMEM192,3.481332395,-0.160840928,0.168913053,-0.952211363,0.3409898,,0,0
MTMR11,3.66370957,-0.248921347,0.261417042,-0.952200153,0.340995483,,0,0
ZNF581,1.952720207,-0.223989587,0.235273134,-0.952040647,0.341076368,,0,0
ZFP41,5.367378137,0.191276858,0.200930827,0.951953766,0.34112043,0.870209705,0,0
NEURL1B,15.34047383,-0.293053753,0.307883538,-0.951833132,0.341181616,0.870209705,0,0
IL27RA,2.76722407,-0.197011647,0.207034946,-0.951586438,0.341306762,,0,0
MUC5B,10.88806417,-0.526080953,0.552956128,-0.951397274,0.341402743,0.87034617,0,0
WFDC13,0.743936792,-0.483842493,0.508578449,-0.951362556,0.341420362,,0,0
SCAF11,40.04999571,0.125461265,0.131891676,0.951244759,0.341480142,0.87034617,0,0
ODZ3,1.350604337,0.922292283,0.969814922,0.950998239,0.34160527,,0,0
ARRDC1,6.692436165,-0.166683821,0.175281059,-0.950951702,0.341628894,0.87034617,0,0
C1ORF129,0.685252691,1.256091494,1.32104903,0.950828823,0.341691279,,0,0
APOH,0.725754593,-0.697746661,0.733979585,-0.95063497,0.34178971,,0,0
MRPL15,8.340070684,0.235031922,0.247276026,0.950484062,0.341866348,0.87034617,0,0
CD24,49.54347419,0.251345415,0.26451299,0.95021955,0.342000707,0.87034617,0,0
ANKRD52,7.274036529,0.137380751,0.144589553,0.950142992,0.342039601,0.87034617,0,0
TXN,69.25679701,-0.208766168,0.219736167,-0.9500765,0.342073383,0.87034617,0,0
WDR48,6.02629501,-0.116841362,0.123023303,-0.949749844,0.342239377,0.87034617,0,0
FGF13,24.70198015,-0.694312095,0.731172131,-0.949587745,0.342321768,0.87034617,0,0
HPS5,6.609049853,0.142405626,0.149967494,0.949576622,0.342327422,0.87034617,0,0
LOC644100,0.356993535,0.910612968,0.959014537,0.94952989,0.342351178,,0,0
KRT86,0.409366878,0.556087769,0.585737873,0.94937991,0.342427424,,0,0
RPL39L,3.934513812,0.322388862,0.339637531,0.949214479,0.342511539,,0,0
UBAP2L,24.38611696,0.122157811,0.128741694,0.948859749,0.342691949,0.870995039,0,0
SIX1,2.358808492,0.356261544,0.375473945,0.948831599,0.342706268,,0,0
MMAA,3.355017487,0.232560404,0.24510343,0.948825579,0.34270933,,0,0
SHISA2,2.207220605,0.526267471,0.554701381,0.948740149,0.342752789,,0,0
MIAT,5.419738079,-0.261905416,0.276105598,-0.948569743,0.342839486,0.871092163,0,0
PHRF1,8.635473824,0.172182203,0.181582898,0.948229182,0.343012794,0.871100839,0,0
ENOSF1,15.02245377,0.165312726,0.174355979,0.948133393,0.34306155,0.871100839,0,0
FBXL15,1.916020172,-0.285097254,0.300704692,-0.948097126,0.343080011,,0,0
SCRN2,3.102150241,0.168371017,0.177595622,0.948058375,0.343099737,,0,0
STEAP1,6.238979408,0.291530136,0.307624488,0.947681825,0.343291456,0.871332568,0,0
BMX,19.92703469,-0.726766855,0.76705839,-0.947472662,0.343397981,0.871332568,0,0
COQ3,0.805261751,0.372956472,0.393643935,0.947446253,0.343411432,,0,0
ARHGEF35,3.378504498,0.440851751,0.465317396,0.947421598,0.34342399,,0,0
CTR9,5.26271407,0.140924882,0.148758456,0.947340311,0.343465396,,0,0
C8ORF42,5.667216094,0.471755345,0.497994723,0.947309929,0.343480873,0.871332568,0,0
SGSH,3.979693178,0.179471192,0.189459319,0.947280891,0.343495665,,0,0
WRAP53,1.076735281,0.288489444,0.304547112,0.947273617,0.343499371,,0,0
MAFG,3.536107908,0.191238097,0.201969904,0.94686433,0.343707916,,0,0
IDH3G,9.906578484,-0.179487909,0.189568288,-0.946824548,0.343728191,0.871465568,0,0
GBGT1,2.879622314,-0.26578003,0.280729593,-0.946747462,0.343767479,,0,0
CLDN11,0.510170164,0.556376045,0.587733754,0.946646405,0.343818989,,0,0
PHF21A,51.48113963,-0.210306801,0.222162045,-0.946636949,0.343823809,0.871465568,0,0
CARD9,0.902896827,-0.421611981,0.445399512,-0.946592822,0.343846303,,0,0
API5,19.55304185,-0.088260763,0.093243394,-0.946563179,0.343861414,0.871465568,0,0
CSNK2A1,16.76046707,-0.147444917,0.15585314,-0.946050345,0.344122908,0.871566477,0,0
CES1P1,0.734499469,2.531674208,2.676657185,0.945834312,0.344233102,,0,0
ACADVL,26.85393069,0.118480369,0.125271311,0.945790124,0.344255644,0.871566477,0,0
GPR107,12.23165898,-0.148716654,0.157258791,-0.945681021,0.344311306,0.871566477,0,0
MED6,7.078962197,-0.154429347,0.163308909,-0.945627204,0.344338764,0.871566477,0,0
STAC3,0.510610291,0.496112957,0.52476803,0.945394782,0.344457365,,0,0
BANP,7.183452105,-0.181027589,0.19150237,-0.94530208,0.344504677,0.871612812,0,0
LRP1B,3.92445315,1.887542207,1.996823976,0.945272207,0.344519924,,0,0
LEPR,21.36317268,0.310521762,0.328537913,0.945162643,0.344575848,0.871612812,0,0
WDR83,1.061050088,0.695728821,0.736319962,0.944872958,0.344723739,,0,0
RNF10,11.87292131,0.114643113,0.121333872,0.944856632,0.344732075,0.871731251,0,0
TEX261,4.948581142,0.149040818,0.157751574,0.944781815,0.344770278,,0,0
HCG27,0.884329315,-0.569639238,0.603072361,-0.944562004,0.344882533,,0,0
LOC284412,6.178734119,0.532461759,0.563760968,0.94448142,0.344923692,0.871835002,0,0
ZNF26,3.415925319,-0.667529166,0.706824716,-0.944405523,0.34496246,,0,0
KCNC3,3.766592416,-0.28733388,0.304312955,-0.944205219,0.345064789,,0,0
CXADRP2,0.527736004,-0.987641543,1.04628469,-0.94395106,0.345194658,,0,0
LOC147670,1.368927097,1.420571617,1.5052635,0.943736175,0.345304483,,0,0
FRMD5,14.69035247,-0.576284899,0.610649184,-0.943724997,0.345310197,0.871835002,0,0
CNDP2,14.97806241,0.128906138,0.136603719,0.943650282,0.345348388,0.871835002,0,0
OSTALPHA,0.470073804,0.842482637,0.89287105,0.943565857,0.345391547,,0,0
CBFB,14.44686151,-0.16651552,0.176474946,-0.943564648,0.345392165,0.871835002,0,0
TBC1D3,7.497625163,0.371848423,0.394165381,0.94338174,0.34548568,0.871835002,0,0
WDR55,4.612286209,0.1430714,0.151663552,0.943347289,0.345503295,,0,0
MICAL1,6.665709537,-0.154529471,0.163817329,-0.943303567,0.345525652,0.871835002,0,0
FDXR,2.149287574,0.228736435,0.242603789,0.942839497,0.345763006,,0,0
CABIN1,17.69358626,0.121334886,0.128723312,0.942602272,0.345884377,0.871835002,0,0
KLF15,2.406379556,0.479921234,0.509236616,0.942432691,0.345971157,,0,0
MRRF,6.442080397,0.140384569,0.148962695,0.942414267,0.345980586,0.871835002,0,0
SLC31A1,6.348803245,0.147881361,0.156931797,0.942328857,0.346024298,0.871835002,0,0
CITED4,1.986088519,-0.391759746,0.415754492,-0.942286261,0.3460461,,0,0
TTC35,17.16148834,0.48661968,0.516461314,0.942219033,0.346080511,0.871835002,0,0
NIPAL3,8.764306527,-0.154236795,0.163747016,-0.941921256,0.346232957,0.871835002,0,0
SLC25A43,7.549545209,0.20738018,0.220238889,0.941614719,0.346389931,0.871835002,0,0
RBM34,13.24987414,-0.135362635,0.143765559,-0.941551197,0.346422466,0.871835002,0,0
ZC3H12A,8.873659743,0.186359782,0.197997173,0.94122446,0.346589844,0.871835002,0,0
SMAGP,3.82528555,0.287779461,0.305963219,0.94056881,0.346925872,,0,0
GGTA1P,1.087091925,-0.544366106,0.578873009,-0.940389511,0.3470178,,0,0
RGPD8,1.789126354,0.33482863,0.356087664,0.940298314,0.347064564,,0,0
C17ORF90,1.90497354,0.403234085,0.428836927,0.940297023,0.347065226,,0,0
NDST1,8.687713172,0.14394392,0.153094986,0.940226225,0.347101533,0.871835002,0,0
ITPRIPL2,7.886817346,-0.144820909,0.154033085,-0.940193526,0.347118302,0.871835002,0,0
NDUFA8,7.110299462,0.157301498,0.167327416,0.940082038,0.347175482,0.871835002,0,0
CREBZF,5.594790691,-0.151398655,0.161076885,-0.939915467,0.347260923,0.871835002,0,0
PPAPDC1B,7.199698902,0.277767827,0.295537327,0.939873926,0.347282233,0.871835002,0,0
PHF8,6.111177608,-0.145064802,0.154359781,-0.939783673,0.347328535,0.871835002,0,0
ZNF449,2.711168802,0.175942829,0.187220203,0.939764116,0.347338569,,0,0
ZSCAN20,1.132783616,0.303065703,0.322568512,0.93953902,0.347454068,,0,0
C12ORF42,2.418217922,-0.783427072,0.833913635,-0.939458284,0.347495501,,0,0
CPM,31.23801792,-0.278161034,0.296096767,-0.93942611,0.347512013,0.871835002,0,0
MRPS34,9.014236423,0.205554405,0.218838763,0.939296138,0.347578721,0.871835002,0,0
OSGIN1,2.242052265,0.445874909,0.474739326,0.93919944,0.347628356,,0,0
UNK,17.35099116,0.11880497,0.126528005,0.938961855,0.347750329,0.871835002,0,0
SLMO1,0.420794937,0.706080562,0.75202968,0.93889986,0.347782161,,0,0
XPO6,17.54082766,-0.164123999,0.174812361,-0.938858087,0.347803611,0.871835002,0,0
TRIM39-RPP21,1.879559175,-0.710878557,0.757320622,-0.938675822,0.347897211,,0,0
C10ORF131,0.716133827,-0.663482571,0.706849997,-0.938646918,0.347912056,,0,0
TUBB,20.16380554,-0.86446385,0.920998972,-0.938615434,0.347928225,0.871835002,0,0
CKB,8.48692061,-0.233214356,0.248474893,-0.938583181,0.347944792,0.871835002,0,0
TYW1,10.89412906,0.211467671,0.225326146,0.938495928,0.347989609,0.871835002,0,0
SLC10A1,0.389087028,0.672406256,0.71650168,0.938457333,0.348009434,,0,0
SPINT2,51.38273863,0.208395184,0.222073556,0.938406122,0.348035741,0.871835002,0,0
USP32,20.39293838,0.179500047,0.191293286,0.938349959,0.348064593,0.871835002,0,0
ZFHX4,1.475976463,-0.786440924,0.838186438,-0.938264912,0.348108287,,0,0
TBX3,2.33330282,0.286652283,0.305537582,0.938189929,0.348146813,,0,0
FAM18B1,4.740500449,0.400317005,0.426828251,0.93788779,0.348302078,,0,0
TGDS,5.07513717,-0.138641034,0.147839454,-0.937781018,0.348356958,,0,0
QSOX1,21.82463585,-0.204904594,0.218529263,-0.937652886,0.348422824,0.871835002,0,0
FOXJ2,3.672543567,0.159763732,0.170428615,0.937423168,0.348540928,,0,0
PSD3,40.25724809,0.266273017,0.284129192,0.937154732,0.348678971,0.871835002,0,0
CAPN1,24.45217623,0.176703395,0.188565388,0.937093478,0.348710476,0.871835002,0,0
ZNF419,1.436326214,-0.243369905,0.259767047,-0.936877516,0.348821566,,0,0
FBXO41,2.051542312,-0.27170317,0.290011274,-0.936871062,0.348824886,,0,0
ADD3,22.5260302,-0.206951163,0.220954245,-0.93662452,0.348951735,0.871835002,0,0
VAT1,9.958619754,0.172754221,0.184445915,0.9366118,0.34895828,0.871835002,0,0
PRNP,19.11300884,-0.19884093,0.212328133,-0.936479435,0.349026396,0.871835002,0,0
HIST1H4I,3.305516967,-0.512989192,0.547826095,-0.936408828,0.349062734,,0,0
7-Mar,24.32738277,0.173316833,0.185122471,0.936227959,0.349155831,0.871835002,0,0
CENPN,2.934182247,-0.212337786,0.226842641,-0.936057636,0.349243514,,0,0
FAM207A,0.812855316,-0.64937363,0.693803933,-0.935961299,0.349293114,,0,0
LTV1,6.435568158,0.117190034,0.125213493,0.935921765,0.34931347,0.871835002,0,0
RABEPK,3.557148306,0.16061495,0.171626097,0.935842235,0.349354422,,0,0
DTWD2,3.944596922,-0.193102931,0.206392543,-0.935610018,0.349474015,,0,0
CST3,57.83238294,-0.174061693,0.186100192,-0.935311733,0.34962767,0.871835002,0,0
ZNF521,6.852705441,-0.419075806,0.448089188,-0.935250878,0.349659024,0.871835002,0,0
CSTF2T,2.301906366,0.185938244,0.198836983,0.935129077,0.349721784,,0,0
PNISR,9.723893374,-0.7842028,0.839024874,-0.934659776,0.349963663,0.871835002,0,0
GLG1,22.63471098,0.16150597,0.172840673,0.934421091,0.350086723,0.871835002,0,0
DCLRE1C,5.067329231,-0.154114959,0.164950412,-0.934310847,0.350143571,,0,0
BRWD1,51.25814098,-0.164118444,0.175690239,-0.934135239,0.350234136,0.871835002,0,0
YDJC,3.321383349,0.219077122,0.234525816,0.934127963,0.350237889,,0,0
RAP1A,29.23494551,-0.125471079,0.134319394,-0.934124817,0.350239512,0.871835002,0,0
UGT1A10,0.89733469,2.540694459,2.719905494,0.934111301,0.350246483,,0,0
MYOM3,0.240736696,-1.959806737,2.098299647,-0.933997553,0.350305155,,0,0
N4BP2,7.266368744,0.131843202,0.141161683,0.933987177,0.350310508,0.871835002,0,0
CDK12,11.90010974,0.118559641,0.126945851,0.933938687,0.350335521,0.871835002,0,0
C1ORF123,4.174225221,0.14693618,0.157355886,0.933782551,0.350416072,,0,0
UQCC,10.17621285,0.447156653,0.478894776,0.933726312,0.350445089,0.871835002,0,0
TST,5.471538009,-0.229362676,0.245716961,-0.933442586,0.350591501,0.871835002,0,0
HLA-DMB,9.892889458,-0.778425736,0.834208277,-0.933131158,0.350752253,0.871835002,0,0
MPHOSPH10,5.654232923,0.129080448,0.138332327,0.933118458,0.35075881,0.871835002,0,0
HTR2B,0.409056797,-0.962330012,1.031319289,-0.933105801,0.350765344,,0,0
CCDC30,2.770321611,0.460499875,0.493621308,0.932901128,0.35087102,,0,0
SEPSECS,4.611446689,-0.146511831,0.157095172,-0.932631019,0.351010512,,0,0
C1ORF85,6.463167134,-0.1994322,0.213839523,-0.932625538,0.351013343,0.871835002,0,0
RP9P,3.582367922,-0.247943512,0.265905988,-0.932448021,0.351105037,,0,0
ZSCAN2,1.323055302,-0.257395385,0.276042638,-0.932447925,0.351105087,,0,0
ARRDC2,7.138467187,-0.174300196,0.186942278,-0.932374407,0.351143066,0.871835002,0,0
C8ORF58,1.185408102,-0.257483736,0.276243056,-0.932091253,0.351289368,,0,0
OR13H1,0.268421336,-0.83190056,0.892619862,-0.931976304,0.351348772,,0,0
SLC35E1,8.954206766,0.156389792,0.167825478,0.931859653,0.351409061,0.871835002,0,0
ZNF518B,4.048616717,0.159788401,0.1714742,0.931850979,0.351413544,,0,0
ATP6V1G1,26.97514567,-0.132959305,0.142685851,-0.931832437,0.351423128,0.871835002,0,0
C15ORF62,0.387099803,-0.464494198,0.498509561,-0.931765877,0.351457533,,0,0
FAM154B,1.829114331,0.608633526,0.653241518,0.931712864,0.351484936,,0,0
APOBEC3F,2.115606565,-0.248109731,0.266305404,-0.931673663,0.351505201,,0,0
DCAF7,8.576466717,0.115741688,0.124241548,0.931586008,0.351550517,0.871835002,0,0
PTBP1,19.60209079,0.129328779,0.138840057,0.931494713,0.351597718,0.871835002,0,0
EIF1AX,9.632554872,-0.136236601,0.146281361,-0.931332605,0.351681541,0.871835002,0,0
TCF7,4.941400835,-0.190189444,0.204228235,-0.931259305,0.351719447,,0,0
TAZ,3.624035702,0.190212765,0.204257921,0.931238132,0.351730397,,0,0
CD83,12.94790361,0.245744129,0.263928277,0.931101932,0.351800839,0.871835002,0,0
FGD1,1.352177994,-0.276145432,0.296585605,-0.931081711,0.351811298,,0,0
PKNOX2,1.621395287,1.00635557,1.080973048,0.930971935,0.351868082,,0,0
UCK1,2.201553637,-0.190968787,0.205148467,-0.930880885,0.351915183,,0,0
TMEM203,2.973067685,-0.182969262,0.196572296,-0.930798827,0.351957636,,0,0
MPV17L2,1.034816656,-0.25711,0.276263175,-0.930670547,0.35202401,,0,0
FLJ22184,0.672152636,-0.557484073,0.599169721,-0.930427645,0.352149711,,0,0
FAM8A1,6.661710417,0.164510369,0.176832002,0.93032012,0.352205364,0.871835002,0,0
TOM1,11.35354354,0.163755505,0.176039919,0.93021802,0.352258213,0.871835002,0,0
PSTPIP2,5.823484924,0.19554112,0.210221686,0.930166265,0.352285005,0.871835002,0,0
PPP2R3C,5.268655641,-0.169125755,0.181826592,-0.930148624,0.352294138,0.871835002,0,0
TGOLN2,18.7878367,0.115420301,0.124089339,0.930138732,0.352299259,0.871835002,0,0
FMO5,18.58483854,0.294140617,0.316248327,0.930093828,0.352322506,0.871835002,0,0
ACY1,2.035842868,0.450871602,0.484768229,0.930076633,0.352331409,,0,0
UBXN8,2.006256201,0.204648662,0.220044198,0.930034348,0.352353301,,0,0
LOC642826,1.812383183,0.812814212,0.87407698,0.929911473,0.352416922,,0,0
DANCR,1.507678355,-0.58220309,0.626384316,-0.929466264,0.352647501,,0,0
PIN4,8.188707489,-0.197024185,0.211978284,-0.929454568,0.35265356,0.871835002,0,0
FAM195B,7.607665174,0.154642854,0.166388639,0.929407533,0.352677926,0.871835002,0,0
PYGO2,3.525522936,-0.169948606,0.182859592,-0.929393993,0.35268494,,0,0
RPL37A,241.2165815,-0.196420179,0.211388445,-0.929190706,0.352790263,0.871835002,0,0
DMXL2,22.9166222,-0.21667171,0.233231177,-0.928999769,0.352889206,0.871835002,0,0
SPPL2B,7.179271068,0.149622931,0.16107833,0.928883049,0.352949698,0.871835002,0,0
AKAP2,0.490447592,1.6975122,1.827500055,0.928871217,0.352955831,,0,0
RPF2,6.692432865,-0.182081301,0.196036876,-0.928811481,0.352986793,0.871835002,0,0
TBX19,1.535105731,-0.473823622,0.510296204,-0.928526644,0.353134453,,0,0
AP4M1,1.731029756,0.249764674,0.269128512,0.928049846,0.353381714,,0,0
FAM91A1,18.48201265,-0.123516423,0.133099329,-0.928001848,0.353406611,0.871835002,0,0
PLSCR4,21.07186037,-0.244465677,0.263442947,-0.927964404,0.353426034,0.871835002,0,0
HIST1H3I,10.96733951,0.249494029,0.268918421,0.927768457,0.35352769,0.871835002,0,0
