geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,NSCLC,SCLC
SHKBP1,6.062626087,0.47695208,0.170193902,2.802404045,0.00507233,0.249483505,0,0
GPR64,1.035166805,-1.469372875,0.525053221,-2.79852178,0.005133711,,0,0
KLHL6,11.44698647,-0.821864524,0.293695263,-2.798358118,0.005136313,0.251080624,0,0
MX2,10.72916581,-0.652223144,0.233277125,-2.795915564,0.005175292,0.251443452,0,0
TNKS2,36.50482701,-0.461282459,0.165445888,-2.788116799,0.005301543,0.256016312,0,0
RAB7L1,2.037217957,1.088543559,0.390607772,2.78679442,0.005323224,,0,0
TRIM52,2.334901909,0.697865095,0.250531557,2.785537688,0.005343903,,0,0
SNHG6,26.73332766,0.495383064,0.17807469,2.781883628,0.005404442,0.259413193,0,0
SLC5A8,2.84473952,2.624138528,0.943862113,2.780213859,0.005432311,,0,0
MRP63,5.011404462,1.286159641,0.462922865,2.778345465,0.00546365,,0,0
ARSA,7.152606966,-0.532288441,0.191772268,-2.775627815,0.005509524,0.26287357,0,0
PCOLCE2,1.954191233,1.539131099,0.555480988,2.770807882,0.005591741,,0,0
SLFN11,10.9674426,-0.561540596,0.203044506,-2.765603501,0.005681757,0.269477624,0,0
COBRA1,3.057303665,1.054999616,0.381654232,2.764281191,0.005704835,,0,0
INPP4B,52.59214334,-0.95702566,0.346418976,-2.762624819,0.005733863,0.270339781,0,0
EPHA10,1.372901271,-1.038602655,0.376344443,-2.759713006,0.005785216,,0,0
CSTA,32.33983343,1.132836858,0.410524345,2.759487642,0.005789208,0.271343569,0,0
C1ORF21,21.12366909,0.873939065,0.317345912,2.753900503,0.005888967,0.274405191,0,0
MXRA5,8.881400693,-0.692004208,0.251842692,-2.747763699,0.006000324,0.277968481,0,0
CHM,16.66294373,-0.594620805,0.217192036,-2.737765227,0.006185822,0.284905364,0,0
ZEB1,54.03274809,-0.586824816,0.215080894,-2.728391183,0.006364408,0.290397659,0,0
FTSJ3,5.406637436,0.503089987,0.184519779,2.726482708,0.006401331,0.290397659,0,0
ICAM1,41.09607508,0.738681404,0.270995269,2.725809224,0.006414406,0.290397659,0,0
LPL,5.017317789,0.852102173,0.312812758,2.724000707,0.006449637,,0,0
WDR43,18.49368464,0.414526928,0.152313518,2.721537349,0.006497904,0.291499248,0,0
CD109,7.03096196,-0.571948527,0.210211369,-2.720825843,0.006511906,0.291499248,0,0
FRG1B,8.173839924,-0.549379036,0.202118707,-2.71810088,0.006565782,0.291518189,0,0
RTEL1-TNFRSF6B,9.005167115,0.594298352,0.218724556,2.717108512,0.006585501,0.291518189,0,0
RPGRIP1L,3.846042328,-0.459691112,0.169217394,-2.71657127,0.006596199,,0,0
LOC100507178,1.422224539,1.425368974,0.52540051,2.712918902,0.006669343,,0,0
CEP170,37.72616429,-0.540163437,0.199143296,-2.712435964,0.006679068,0.292850066,0,0
C5ORF56,17.07967271,-0.521789968,0.1925487,-2.709911666,0.006730113,0.292850066,0,0
FLJ31306,15.01903427,0.660333976,0.24374582,2.709108918,0.006746419,0.292850066,0,0
YPEL3,10.41424295,-0.389641615,0.143868703,-2.708313938,0.006762602,0.292850066,0,0
TRIM65,3.436319067,0.528394571,0.195262048,2.706079215,0.00680828,,0,0
ALAS1,8.812520727,0.438783811,0.162221149,2.704849602,0.006833532,0.294322074,0,0
ALOX15,1.078935697,2.063653292,0.763151057,2.704121645,0.006848521,,0,0
GDA,1.892192113,3.053421559,1.1297998,2.70262179,0.006879498,,0,0
DNAJA4,6.331485775,0.622368501,0.230435097,2.700840754,0.006916445,0.295967637,0,0
LRRC15,1.487583014,-0.951841504,0.352486418,-2.70036363,0.006926373,,0,0
B4GALT5,51.31650364,0.561694989,0.208150803,2.698500223,0.006965269,0.295967637,0,0
PARP6,9.47255064,-0.339408815,0.125873774,-2.69642202,0.007008881,0.295967637,0,0
NECAB1,1.142256997,1.928152598,0.715400414,2.69520755,0.00703448,,0,0
ZNF500,2.89327721,-0.465656248,0.172782142,-2.695048472,0.007037839,,0,0
HLA-DRB3,51.15245853,2.02903034,0.753186902,2.693926747,0.007061568,0.295967637,0,0
SLC4A4,11.98234398,1.015182782,0.377199974,2.691364933,0.007116031,0.295967637,0,0
ANXA4,26.79375352,0.559859339,0.208052928,2.690946696,0.007124958,0.295967637,0,0
PER2,12.32353159,0.59809086,0.222380471,2.689493625,0.007156051,0.295967637,0,0
BAG1,9.417305458,0.53679418,0.19963374,2.688895077,0.007168895,0.295967637,0,0
SLC19A3,0.864485662,2.080724241,0.774194159,2.687600027,0.007196754,,0,0
GRHL2,23.6464936,0.740566689,0.276275305,2.680538854,0.007350373,0.301021627,0,0
SLC35E3,5.408819437,-0.55499317,0.207279836,-2.677506801,0.007417235,0.301021627,0,0
RAB11B,7.505648704,0.404407568,0.151072986,2.676901926,0.007430638,0.301021627,0,0
REEP3,26.4926374,0.680279121,0.254318349,2.674911674,0.007474894,0.301021627,0,0
PTPN1,43.67413032,0.607535078,0.227143642,2.674673495,0.007480206,0.301021627,0,0
LOC100216545,1.766096788,1.053620051,0.39459645,2.670120449,0.007582404,,0,0
ACOXL,20.09528486,1.530102763,0.573283083,2.669017817,0.007607341,0.304599482,0,0
NOMO2,1.093064535,-2.47495907,0.927629281,-2.668047591,0.007629345,,0,0
C17ORF56,1.94823585,1.077640498,0.404247268,2.665795374,0.007680643,,0,0
HLA-C,359.0217998,-0.937788905,0.351917431,-2.664798109,0.007703456,0.306562858,0,0
AGPS,13.48356979,-0.390354082,0.146557018,-2.663496349,0.007733325,0.306562858,0,0
MFSD3,1.821255266,0.874235895,0.328405622,2.662061292,0.007766374,,0,0
TRIM11,5.14591262,-0.446257101,0.167753725,-2.660191899,0.007809614,,0,0
LAMA3,20.39489406,0.686494315,0.258459397,2.656101207,0.007904989,0.310649717,0,1
RALY,22.65296435,-0.429290866,0.161648844,-2.655700195,0.007914394,0.310649717,0,0
FAM60A,19.94937903,-0.454950654,0.171425448,-2.653927166,0.0079561,0.310755898,0,0
PCBP2,61.52593157,0.498968735,0.188490073,2.647188404,0.008116412,0.315426625,0,0
POLR1D,15.14138297,0.317533767,0.120100061,2.643910134,0.008195441,0.315426625,0,0
CCNI,37.91981159,0.294537404,0.111500705,2.641574375,0.008252169,0.315426625,0,0
CYP24A1,10.97630363,1.500447385,0.568155115,2.640911515,0.008268331,0.315426625,0,0
GNE,8.58200921,0.480941721,0.182126944,2.640695059,0.008273615,0.315426625,0,0
IFIT1,7.0820629,-0.799603832,0.303472968,-2.634843675,0.008417604,0.318001835,0,0
ASPSCR1,7.827837275,0.528937792,0.200757692,2.634707469,0.008420982,0.318001835,0,0
FLJ39739,0.779644404,2.2538793,0.855710172,2.633928372,0.008440329,,0,0
LOC148189,1.859637927,1.294446139,0.491678667,2.632707551,0.008470725,,0,0
BAMBI,2.728057824,1.07571738,0.408597726,2.632705256,0.008470782,,0,0
PHF11,11.64736663,-0.360100947,0.136792999,-2.632451588,0.00847711,0.318343107,0,0
CYP27B1,0.743578835,1.260286189,0.478895657,2.631650905,0.008497112,,0,0
ANKRD29,4.287933657,0.837216303,0.318270744,2.630516061,0.008525534,,0,0
PER3,9.621236839,0.642335187,0.244317277,2.629102593,0.008561053,0.318343107,0,0
CPEB3,7.448485384,-0.526307358,0.200256644,-2.628164284,0.008584705,0.318343107,0,0
DYNLT3,6.412344651,-0.539821144,0.205414424,-2.627961237,0.00858983,0.318343107,0,0
LOC728855,1.519322866,1.473536595,0.560760907,2.627744866,0.008595296,,0,0
PPYR1,0.631388399,2.095809629,0.798214161,2.625623211,0.00864905,,0,0
NOP2,4.217456274,0.496991555,0.189900292,2.617118429,0.008867557,,0,0
SHMT2,8.522592218,0.559363534,0.213971628,2.61419488,0.008943801,0.328448295,0,0
TTC7B,65.38783032,-1.255382399,0.480495167,-2.61268476,0.008983412,0.328448295,0,0
SLC35D2,5.934078259,-0.378756021,0.144973931,-2.612580196,0.008986161,0.328448295,0,0
ETV4,3.447946998,-0.878557958,0.33649936,-2.610875569,0.009031075,,0,0
MEGF6,10.10616703,0.630583351,0.241650645,2.609483415,0.009067904,0.329922649,0,0
SAFB2,11.63593847,0.370176523,0.141968853,2.607448856,0.00912197,0.330381155,0,0
FAM189A2,6.70739315,1.105243492,0.42439153,2.604301489,0.009206173,0.331922126,0,0
LCA5L,1.293997911,-0.981922452,0.377314606,-2.60239714,0.009257458,,0,0
SCARNA16,121.2646595,3.050203377,1.17223061,2.602050612,0.009266818,0.332302107,0,0
RAB26,0.501066778,-1.068685131,0.411040119,-2.59995334,0.009323644,,0,0
UBE4A,11.05535743,0.329952493,0.126929498,2.599494197,0.009336126,0.332302107,0,0
SLC20A2,27.36955985,0.466851524,0.179607692,2.599284686,0.009341826,0.332302107,0,0
ADH1C,3.960634397,2.444494694,0.941027612,2.597686468,0.009385415,,0,0
MYO5A,20.51633405,-0.563320744,0.216980837,-2.596177397,0.009426738,0.33383222,0,0
TMPRSS9,0.807808086,1.752930987,0.675488294,2.595057536,0.009457509,,0,0
WISP1,3.308036507,-0.740256733,0.285399879,-2.593752795,0.009493472,,0,0
NEBL,54.56710693,0.848931343,0.327496837,2.592181805,0.009536936,0.334233776,0,0
ARHGEF26,8.330625602,0.702821256,0.27117185,2.591792832,0.009547725,0.334233776,0,0
DHRS3,17.88774927,0.646880472,0.249644196,2.59120974,0.009563918,0.334233776,0,0
MCC,30.84448576,0.911675779,0.352064016,2.589517072,0.009611066,0.334414723,0,0
TAF6L,3.620182272,0.559127081,0.216085666,2.587525078,0.009666816,,0,0
CDKN2B,2.703841099,-0.67440266,0.260681171,-2.587078526,0.009679353,,0,1
URGCP,6.125340724,-0.558642238,0.216138057,-2.584654666,0.009747657,0.33718966,0,0
NCKAP5,25.83673327,1.452870161,0.562327496,2.583672631,0.009775453,0.33718966,0,0
LDLR,22.50441698,0.685927944,0.266058761,2.578106966,0.009934324,0.341192648,0,0
GRAMD1B,4.345494363,-1.423951745,0.552699157,-2.576359538,0.009984676,,0,0
NOL3,3.984895777,0.634688224,0.246357669,2.576287664,0.009986752,,0,0
C3ORF70,1.010522842,-1.657897215,0.644020007,-2.574294581,0.010044471,,0,0
CMPK2,2.55852436,-0.572568291,0.222565217,-2.572586581,0.01009417,,0,0
PRR16,7.254505337,-1.520017529,0.591289892,-2.570680726,0.010149885,0.346348703,0,0
DHRS9,2.975535516,1.377441335,0.535872843,2.570463036,0.010156266,,0,0
SEC22A,991602.8461,2.568600492,1.000609711,2.567035343,0.010257216,0.346348703,0,0
GANAB,24.84710417,0.378083289,0.14729151,2.566904831,0.010261077,0.346348703,0,0
GCLM,9.229126025,0.762639652,0.297159091,2.566435537,0.010274972,0.346348703,0,0
MAPK10,31.768336,1.170077775,0.456076172,2.565531474,0.010301787,0.346348703,0,0
C5ORF4,2.638535819,1.242643424,0.484848741,2.562950709,0.010378678,,0,0
SFMBT2,33.78637122,-0.788912406,0.307913563,-2.562122946,0.010403448,0.348296958,0,0
TOX2,2.606246699,-1.371837648,0.535626467,-2.56118346,0.010431625,,0,0
ISLR,3.656252826,-0.77292942,0.302068541,-2.558788207,0.010503771,,0,0
SYNPR,1.640816604,-1.841765366,0.720299246,-2.556944737,0.010559599,,0,0
ARHGAP27,7.276035951,-1.867271922,0.730740581,-2.555314392,0.010609193,0.353698938,0,0
