"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"APP",217696.796312251,-14.1590028441513,0.563237541882949,-25.1385992432546,1.88319525832192e-139,1.5005299818309e-135
"CASP2",1621670.85607647,18.0596131548832,0.95514913997307,18.9076369323773,9.86807773642612e-80,3.93144217019216e-76
"ORAI2",360190.900152653,17.3747893782363,0.988969807425352,17.5685741341985,4.28815139784531e-69,1.13893301126771e-65
"SYPL1",324979.373103327,14.7899477280844,0.881834140823859,16.771802137607,3.92424136397403e-63,7.81708879703628e-60
"RCOR1",195829.497142736,13.6626255070954,0.848740501226446,16.097529795447,2.65494232954846e-58,4.23091609636842e-55
"SAV1",32178.994708489,13.0727436436331,0.835436087324523,15.6478081830274,3.43859946118577e-55,4.5664600844547e-52
"ZNF485",21788.2874417816,13.4846473098356,1.00372557623283,13.4345956994002,3.79133314278868e-41,4.31562035453432e-38
"TMEM111",243138.229635199,16.1450892925519,1.22923788831286,13.1342268620691,2.0962141802085e-39,2.08782932348766e-36
"SNX22",520.433781417294,9.14452465054396,0.875402425426959,10.4460810079249,1.5270560645564e-25,1.3519536358206e-22
"ATAD3C",5608.0562732375,9.44620656583281,0.956439551286056,9.87642821036747,5.26771304044354e-23,4.19731375062541e-20
"MMAB",257.611834506382,6.17030757139362,0.638459626089461,9.66436610751177,4.27256734445375e-22,3.09489241823704e-19
"RNF168",384.123809748887,5.79278628918426,0.601430000300563,9.63168828673216,5.87560629484128e-22,3.90140257977461e-19
"NGB",74952.1701352095,30,3.30132723988654,9.08725425263539,1.01571660233122e-19,5.78091387654201e-17
"FAM55A",9378.29069595586,30,3.30132748173617,9.08725358691862,1.01572281967355e-19,5.78091387654201e-17
"NOX4",4107.4777310061,7.84949701906205,0.899508785182042,8.7264261876814,2.62846768485735e-18,1.39624203419622e-15
"KIF6",120538.83678551,21.5059973318811,2.74782930903285,7.82654048458726,5.01477874510418e-15,2.49735981506188e-12
"SCAND2",148.549728325313,6.63896170090168,0.873508389926446,7.60034108139557,2.95351259572257e-14,1.38432872721867e-11
"FLVCR2",19.3949708490352,-2.76892259562964,0.421615488956482,-6.56741193850077,5.11972704053285e-11,2.26633250327587e-08
"SIDT1",594.892202102036,3.35410018938337,0.555788061950404,6.03485468473894,1.59105798629941e-09,6.67239475517565e-07
"NCAPD2",67.9066435962992,2.44547464186127,0.477809294159406,5.11809768406349,3.08632751479797e-07,0.000122959288189551
"ASTN2",42.6723074547906,2.30412034805698,0.465359540590583,4.95126917379377,7.37310371857426e-07,0.000279756621093332
"COL11A1",13.4242309583941,-2.58822177191151,0.544690741649059,-4.75172712514927,2.01686438561076e-06,0.000730471610206659
