,Name,FC,logFC,logCPM,P-Value,FDR,SCLC,NSCLC
12614,H2BC9,1.598022782,0.676287976,3.918295412,0.02916756,0.138772192,0,0
12615,IL32,1.222527875,0.289867361,4.759168354,0.173727977,0.388642905,0,0
12616,LINC02254,1.263474224,0.337396232,1.971655396,0.529076422,0.731395364,0,0
12617,FXYD6-FXYD2,1.284869214,0.361621516,0.337408794,0.208668259,0.431789164,0,0
12618,LINC02253,1.252029204,0.324268214,2.581891438,0.54481673,0.741595684,0,0
12619,IL33,1.109541447,0.149963561,2.79950716,0.637229835,0.806136094,0,0
12620,H2BC7,1.202609659,0.266168451,3.43234286,0.353493026,0.583685512,0,0
12621,LINC02256,1.038138527,0.053998966,-0.749270922,0.873113359,0.945389471,0,0
12622,H2BC8,1.181270377,0.240339216,4.499556371,0.386611189,0.612514462,0,0
12623,H2BC5,1.26788249,0.34242104,5.89015339,0.0697014,0.230681776,0,0
12624,PNPLA7,1.0657433,0.091859985,4.549777877,0.631266202,0.802197751,0,0
12625,H2BC6,1.39281237,0.478000921,3.097942332,0.064139733,0.219701357,0,0
12626,IL37,-1.429674374,-0.515686593,2.842854808,0.28816418,0.519394071,0,0
12627,PNPLA8,-1.048190477,-0.067900906,6.576909135,0.532595111,0.733746594,0,0
12628,IL34,1.513047561,0.597457338,3.070219462,0.00965774,0.074101407,0,0
12629,H2BC4,1.189595047,0.250470546,6.284644817,0.187057985,0.406663313,0,0
12630,VEGFB,1.209916838,0.274907889,4.819983508,0.033891438,0.150901589,1.0,1.0
12631,PCDHB15,-1.29853509,-0.376885,2.010175646,0.039761465,0.165263651,1.0,0
12632,PCDHB14,-1.084130076,-0.116537865,2.635196002,0.545360809,0.742131972,1.0,0
12633,VEGFC,1.082427921,0.114270958,5.068824771,0.6175078,0.792763691,1.0,1.0
12634,PCDHB13,-1.186995106,-0.247313987,3.095798786,0.22488193,0.451315556,1.0,0
12635,PCDHB12,-1.244623574,-0.315709478,2.087163558,0.108491003,0.29747553,1.0,0
12636,PCDHB11,1.570548268,0.651268282,2.676233626,0.021434217,0.115479693,1.0,0
12637,PCDHB10,-1.128783459,-0.174768752,1.595803155,0.460565254,0.678565227,1.0,0
12638,SH3RF3,-1.284980731,-0.361746726,6.958305683,0.086251681,0.261358319,0,0
12639,CD63-AS1,1.112782911,0.15417217,1.719504532,0.284436844,0.515786101,0,0
12640,NUDT9,1.01178326,0.016900276,4.861623351,0.87210446,0.945207632,0,0
12641,SH3RF2,1.410905781,0.49662165,3.115772614,0.119871666,0.314857075,0,0
12642,NUDT7,-1.171946942,-0.228907255,2.742210188,0.118009191,0.311821748,0,0
12643,KITLG,1.044748741,0.06315602,7.700905111,0.765485167,0.887979792,1.0,1.0
12644,NUDT8,-1.472996836,-0.558754331,2.300512788,0.010394519,0.076395454,0,0
12645,LOC107985995,1.537834737,0.620900472,1.210048489,0.095364708,0.276804532,0,0
12646,OTULIN,1.147790838,0.198859764,6.764370453,0.114403613,0.306180603,0,0
12647,PCDHB16,-1.105905036,-0.145227507,2.505509209,0.546206018,0.74297069,1.0,0
12648,HNRNPA2B1,-1.017003272,-0.024324321,8.484658174,0.72580135,0.864024263,0,0
12649,LOC107985999,-1.241983946,-0.312646525,-0.765070056,0.513402869,0.719127616,0,0
12650,LOC107984667,-1.795768716,-0.844601552,-0.359525097,0.040501404,0.166987027,0,0
12651,LOC107985998,1.242782198,0.313573481,-0.076409171,0.239818645,0.468457596,0,0
12652,AGGF1,-1.021519033,-0.030716085,5.718426452,0.734277737,0.868625221,0,0
12653,CCNYL1,-1.015675687,-0.022439812,5.706034046,0.825710184,0.921636499,0,0
12654,LOC107985997,1.503942326,0.588749243,0.317969875,0.089548023,0.267252272,0,0
12655,CCNYL4,1.158972329,0.212846122,0.47315436,0.345277746,0.575647244,0,0
12656,LOC107985996,1.014949485,0.021407925,0.463087073,0.942918307,0.979005213,0,0
12657,KIAA1958,-1.151799906,-0.203890109,6.859084045,0.147128891,0.353789084,0,0
12658,PNPLA1,1.457640038,0.543634493,0.64129397,0.03413215,0.151468968,0,0
12659,PNPLA2,-1.094309399,-0.130020696,4.943898853,0.373968535,0.601524861,0,0
12660,ZFAND4,1.029658642,0.042166126,5.127182902,0.682099062,0.836053251,0,0
12661,UBE3C,1.00715382,0.01028404,8.012952112,0.900125145,0.95800867,0,0
12662,ZFAND3,-1.130119928,-0.17647588,9.555092932,0.060179881,0.211666915,0,0
12663,UBE3D,-1.095294243,-0.131318491,6.046899983,0.284881236,0.516205321,0,0
12664,ZFAND6,-1.024129863,-0.034398665,7.934410641,0.662009076,0.822851654,0,0
12665,ZFAND5,-1.161560767,-0.21606463,8.167861384,0.131139311,0.331586971,0,0
12666,LOC112268431,1.499714636,0.584688012,0.410753067,0.068514419,0.228384772,0,0
12667,LOC112268432,1.546837505,0.62932165,-1.161841931,0.177041321,0.393124687,0,0
12668,UBE3A,-1.127420344,-0.173025506,4.614551416,0.027089862,0.133545188,0,0
12669,LOC112268433,-1.329500757,-0.410884598,0.799289859,0.303665217,0.535618538,0,0
12670,UBE3B,1.12262277,0.166873226,6.042345841,0.011832396,0.082320325,0,0
12671,SBF2-AS1,-1.219587669,-0.286393469,2.806929601,0.023777481,0.123851735,0,0
12672,ZFAND1,1.165721968,0.221223737,5.921464333,0.082503204,0.255000526,0,0
12673,TMEM260,-1.06524245,-0.091181827,6.399302519,0.402430908,0.627203211,0,0
12674,LOC112268434,1.162976546,0.217822003,0.864772372,0.58414339,0.769777833,0,0
12675,UBE2Z,1.179532536,0.238215214,6.472996499,0.017441566,0.103055243,0,0
12676,TMEM262,1.027423091,0.039030403,-1.569218857,0.874713507,0.94568683,0,0
12677,LOC112268436,-1.000754233,-0.001087718,-2.05176977,0.961119857,0.98717431,0,0
12678,TMEM263,1.080722797,0.111996522,5.81715347,0.36151314,0.590519235,0,0
12679,LOC112268438,-1.527254289,-0.610940292,-1.457859881,0.082923874,0.255674319,0,0
12680,TMEM265,1.093507079,0.128962559,3.558550209,0.569462391,0.75843954,0,0
12681,TMEM266,1.243818525,0.314776009,3.185292747,0.091627032,0.270501874,0,0
12682,TMEM267,1.002470238,0.003559405,5.287625459,0.980990556,0.996560235,0,0
12683,TMEM268,-1.048480806,-0.068300452,5.131901776,0.531720926,0.733152669,0,0
12684,TMEM269,1.166593672,0.222302154,0.183723877,0.277954374,0.509337404,0,0
12685,LOC107985962,1.27129653,0.346300578,6.616307489,0.547966192,0.744243603,0,0
