,Name,FC,logFC,logCPM,P-Value,FDR,SCLC,NSCLC
0,KRT16P5,-1.474275334,-0.560005986,-2.065783742,0.423249709,0.645529235,0,0
1,KRT16P3,-1.158474935,-0.21222683,0.698547122,0.598622367,0.779482071,0,0
2,KRT16P2,1.785481203,0.836312946,3.744968079,0.060199535,0.211666915,0,0
3,KRT16P6,-2.534136325,-1.341494137,0.404997149,0.023715639,0.123726697,0,0
4,CRHBP,1.441890758,0.527961865,-0.015277056,0.034942111,0.15340401,0,0
5,LOC105377714,1.21677621,0.283063851,-1.593632212,0.423465646,0.645742855,0,0
6,HTR6,1.360288751,0.443912928,-0.01084707,0.050642236,0.190467819,0,0
7,HTR7,1.595475594,0.67398654,2.548371202,0.040087048,0.165970617,0,0
8,LURAP1L,-1.045730207,-0.064510692,4.00724267,0.718551239,0.85903525,0,0
9,BBX,1.109490334,0.149897098,8.598950845,0.111460527,0.301512262,0,0
10,EXOC3-AS1,1.126193803,0.171455118,0.897337981,0.4322385,0.653358173,0,0
11,LOC105377703,1.32594276,0.407018497,1.269662145,0.290307394,0.521688138,0,0
12,LOC105377700,-1.049282461,-0.069403096,3.215091485,0.74689341,0.876992274,0,0
13,ORAI3,1.058290664,0.081735925,3.992594645,0.608187794,0.786809144,0,0
14,AGTR1,-1.818709324,-0.862914982,2.823115249,0.010724515,0.077610483,0,0
15,ORAI2,1.191170722,0.2523802,4.706163538,0.134651735,0.336348818,0,0
16,VOPP1,1.199710866,0.262686754,7.991688538,0.152076156,0.360704279,0,0
17,HOATZ,-1.048282283,-0.06802726,1.250497813,0.834668629,0.926483115,0,0
18,CLEC20A,1.203455923,0.267183304,0.790715589,0.122866559,0.319386291,0,0
19,LOC100421518,-1.123935752,-0.168559569,0.287241535,0.608738721,0.787212922,0,0
20,COL13A1,-1.268582534,-0.343217385,3.759950432,0.122521037,0.318886837,0,0
21,SHMT2,1.487886527,0.573264504,5.410505955,0.004864426,0.050508762,0,0
22,SHMT1,-1.088451972,-0.122277751,0.720388864,0.55379155,0.748915506,0,0
23,B3GLCT,-1.180394548,-0.239269162,5.107420479,0.019851313,0.110721735,0,0
24,RDH12,1.206174084,0.270438143,0.153129422,0.154186363,0.363858476,0,0
25,RDH11,1.140338632,0.189462307,5.686237255,0.192924158,0.414114825,0,0
26,LOC105377732,1.061871239,0.086608838,0.424907456,0.807212929,0.910578761,0,0
27,RDH10,1.141985969,0.191544925,5.171996032,0.438760277,0.659106848,0,0
28,RDH16,1.371574879,0.455833386,0.507480424,0.147594327,0.354606486,0,0
29,GTF2IRD2B,-1.121279757,-0.165146273,4.395012534,0.155411849,0.36552926,0,0
30,GSTM4,1.500931382,0.585858023,3.353875872,0.00987325,0.074729791,0,0
31,GSTM3,1.218444255,0.285040248,4.552641995,0.396599404,0.621647092,0,0
32,GSTM2,1.157223161,0.210667103,3.827572372,0.350438505,0.580897961,0,0
33,LOC643709,1.210016143,0.275026294,-1.338866736,0.659002519,0.820794217,0,0
34,GSTM1,3.29595818,1.720697937,4.702173483,0.075479194,0.242224161,0,0
35,NEBL,-1.314842802,-0.394890326,8.56877405,0.031575448,0.144828201,0,0
36,TMEM254-AS1,1.04359642,0.0615639,2.217118312,0.717791862,0.858675827,0,0
37,SPAG5-AS1,1.076809965,0.106763667,2.492141763,0.481437733,0.694520458,0,0
38,DHFR,1.012562472,0.01801092,4.878351959,0.936542631,0.975148206,0,0
39,LOC105377725,-1.303132123,-0.381983364,2.929815155,0.097107642,0.279379394,0,0
40,PKIB,-1.17134135,-0.228161565,5.332099688,0.224492115,0.450853478,0,0
41,DELEC1,-1.193907842,-0.25569148,1.519697627,0.354764356,0.584589252,0,0
42,LOC105377727,-1.023063777,-0.032896084,-0.526947219,0.949459362,0.982846022,0,0
43,STRC,1.700838394,0.766246069,-0.593273268,0.055066512,0.201544262,0,0
44,LOC105377722,-1.416762952,-0.502598392,-1.175622001,0.363241717,0.591907329,0,0
45,L1TD1,1.539182704,0.622164492,0.674113645,0.028370263,0.136922174,0,0
46,STRN,1.005200534,0.007483342,7.314192841,0.940125132,0.977283446,0,0
47,CASP4LP,1.079063701,0.109780036,2.427618381,0.57854459,0.764767739,0,0
48,GSTM5,-1.113015203,-0.154473299,0.657152568,0.559294597,0.752242676,0,0
49,GTF2H2C,-1.039035266,-0.055244621,1.831217915,0.771533844,0.891232772,0,0
50,KCNC2,-1.532171222,-0.61557753,1.155549792,0.164633145,0.377779791,0,0
51,KCNC4,-1.215088096,-0.281060916,4.524000576,0.136871316,0.339313223,0,0
52,GLT1D1,-1.401805609,-0.487286302,2.892010613,0.059272888,0.21009485,0,0
53,AJUBA-DT,-1.285326187,-0.36213453,0.007520709,0.122429665,0.318732909,0,1.0
54,NEFL,2.765959458,1.46778001,0.878360868,0.024169922,0.125237808,0,0
55,ZNF32-AS3,-1.130799241,-0.17734282,0.826365779,0.324452097,0.556730023,0,0
56,STUM,2.140310142,1.097819866,2.992165091,0.008258272,0.068190542,0,0
57,MYBPC3,-1.165455069,-0.220893386,0.506426181,0.39711013,0.622250368,0,0
58,GSTO2,1.306210106,0.385386976,4.693066526,0.081465598,0.253395654,0,0
59,KCND2,-1.017585265,-0.025149685,6.935914997,0.91096876,0.963594798,0,0
60,FLJ20021,-1.003833608,-0.005520154,0.25018455,0.944860812,0.98019707,0,0
61,GSTO1,1.588652184,0.667803299,5.851798529,4.49106e-05,0.002893299,0,0
62,KCND3,-1.169831025,-0.226300156,5.413506786,0.273563213,0.504761007,0,0
63,RPL3P4,1.298891207,0.377280598,5.091349647,0.031071921,0.143416677,0,0
64,TMEFF2,-1.448105334,-0.534166547,5.18867244,0.018293487,0.105514316,0,0
65,RPL3P7,1.63339848,0.70787679,-0.207912745,0.005385235,0.053576042,0,0
66,EIF1B-AS1,-1.114386749,-0.156250009,3.871711612,0.285730551,0.517081054,0,0
67,TRT-CGT4-1,1.404858855,0.490425192,-0.310181066,0.155717225,0.365899402,0,0
68,RPS7P10,1.686957144,0.754423323,2.213608411,0.001480021,0.02504008,0,0
69,PKN3,-1.080472046,-0.111661747,2.761928533,0.444501663,0.664601897,0,0
70,SYNPO2,1.291621577,0.369183447,6.32997177,0.176019814,0.391775814,0,0
71,GSTP1,1.108332124,0.148390266,7.801472671,0.514337439,0.719926813,0,0
72,KCNA2,1.701069457,0.766442049,2.551119441,0.008391855,0.068702881,0,0
73,PTAFR,1.431860847,0.517891294,4.999287042,0.010867904,0.078319049,0,1.0
74,ADAM22,1.229436419,0.297997127,4.357907718,0.166654859,0.37991315,0,0
75,ADAM21,-1.212389744,-0.277853553,0.763591736,0.175023416,0.39039248,0,0
76,ADAM20,-1.134639345,-0.182233797,3.844904269,0.250642955,0.479978346,0,0
77,SDAD1,1.157722199,0.211289114,5.682139504,0.010247357,0.076007491,0,0
78,ADAM29,1.387999928,0.473007494,0.272694493,0.251568471,0.481061354,0,0
79,ADAM28,1.510706361,0.595223268,1.015588217,0.031722833,0.145234765,0,0
80,ETNK1-DT,1.748812466,0.80637559,-1.028583545,0.035291953,0.154083162,0,0
81,BORCS7-ASMT,1.030643465,0.043545342,0.448777288,0.778783163,0.894628841,0,0
82,STX6,1.034672324,0.049173945,6.849014283,0.615971953,0.791797753,0,0
83,STX5,1.1523563,0.204586856,5.492579518,0.009371293,0.072941923,0,0
84,STX4,1.090175094,0.124559866,4.77060936,0.252430791,0.481722905,0,0
85,STX3,-1.071907591,-0.100180537,6.079995051,0.35147013,0.581552874,0,0
86,STX2,1.251784021,0.323985665,4.981765777,0.0144394,0.09269148,0,0
87,SPDEF,-1.232730606,-0.301857556,3.838337383,0.364976638,0.593627299,0,0
88,MBD3,1.07924574,0.110023399,5.196134987,0.397092133,0.622250368,0,0
89,MBD4,1.185135177,0.245051622,5.374578609,0.016027915,0.098172841,0,0
90,KLRK1-AS1,1.251674792,0.323859773,2.130000634,0.208091024,0.431316733,0,0
91,MBD5,-1.053522917,-0.075221697,8.531122737,0.480715322,0.694076009,0,0
92,MBD6,-1.13258372,-0.179617697,4.858983468,0.171027491,0.385303761,0,0
93,MBD1,1.212569158,0.278067032,5.450921561,0.002564393,0.03527021,0,0
94,KCNB2,1.730287898,0.791012104,6.088403953,0.203500988,0.426224986,0,0
95,MBD2,1.184016568,0.243689269,7.202780169,0.016350119,0.099163645,0,0
96,KIAA2012,1.111431637,0.152419212,2.493170111,0.577514148,0.76430268,0,0
97,ADAM32,1.498858922,0.583864598,1.237484015,0.045926523,0.180010853,0,0
98,KIAA2013,-1.030803097,-0.043768777,4.767640509,0.74489466,0.876192405,0,0
99,MITD1,1.215775196,0.281876491,4.387818727,0.00046108,0.012390265,0,0
100,PKN2,1.02087861,0.02981133,8.107912722,0.714470645,0.856632805,0,0
101,KCNG2,1.078593526,0.109151279,3.459623377,0.565779021,0.75655537,0,0
102,KCNG3,1.120214455,0.163774949,2.934117818,0.609934244,0.787981952,0,0
103,RASL11B,-1.336079585,-0.418005947,1.114414535,0.061821922,0.21503939,0,0
104,FBXO28,1.099931195,0.13741328,6.632754179,0.188454956,0.408691023,0,0
105,LOC100419257,-1.062021211,-0.08681258,2.238560947,0.721590283,0.860942448,0,0
106,RASL11A,1.038016269,0.053829056,2.007318215,0.836192446,0.927649742,0,0
107,GOLIM4,-1.058580912,-0.082131546,7.081077677,0.525465305,0.728491014,0,0
108,FBXO25,1.020953514,0.029917179,6.052059836,0.792005357,0.902008635,0,0
109,FBXO24,-1.628917424,-0.70391347,-1.673808682,0.011095192,0.079220469,0,0
110,FBXO21,1.077960073,0.108303743,6.210113105,0.24895633,0.477951689,0,0
111,FBXO22,1.026331105,0.037496235,5.125008975,0.683679526,0.837523299,0,0
112,FADS3,1.130611765,0.177103615,3.954370256,0.311106814,0.543077721,0,0
113,POTEM,4.406454866,2.139618428,-1.45894096,0.016510581,0.09973924,0,0
114,FADS2,1.295076792,0.373037646,5.770632696,0.126598121,0.325197692,0,0
115,PTAR1,1.005252193,0.007557483,7.33997875,0.952094783,0.98388268,0,0
116,FNTA,1.158849573,0.212693307,6.601508739,0.038624159,0.162326524,0,0
117,MYBPHL,-1.225296665,-0.293131092,2.66121836,0.303632095,0.535607881,0,0
118,FADS6,-1.631276588,-0.706001416,-0.015967883,0.151606127,0.359994315,0,0
119,POTEI,1.608456616,0.685677024,-0.270549706,0.246504514,0.475206909,0,0
120,POTEJ,1.504475327,0.589260447,-0.057205921,0.311376276,0.543258077,0,0
121,POTEE,2.050337107,1.035861131,2.849709477,0.167667358,0.381349901,0,0
122,NEK1,-1.000944533,-0.00136203,6.632658186,0.981734983,0.996855657,0,0
123,NEK2,1.689129541,0.756279974,3.441264537,0.01063071,0.077292534,0,0
124,POTEF,1.190396148,0.251441764,3.24985247,0.792672947,0.902436895,0,0
125,POTEG,5.412321833,2.436247629,-0.670160656,0.005263847,0.053008335,0,0
126,NEK3,1.080312179,0.111448269,4.132206497,0.385556751,0.611492785,0,0
127,IATPR,1.365717452,0.449659041,1.21835768,0.117532655,0.311227856,0,0
128,TNFRSF4,1.146830738,0.197652478,1.27949134,0.382253823,0.608641426,0,0
129,FADS1,1.590048498,0.66907077,5.518353858,0.001348301,0.023783958,0,0
130,KCNH1,1.166254901,0.221883144,4.333677809,0.551441876,0.746617365,0,0
131,KCNH2,-1.370359121,-0.45455402,2.081273213,0.123296294,0.319960665,0,0
132,PIAS4,-1.003623331,-0.005217915,4.410102835,0.958017441,0.985830851,0,0
133,KCNH3,1.424712501,0.510670821,0.713705092,0.041512145,0.16904286,0,0
134,PIAS3,-1.020105046,-0.028717722,5.141825193,0.830366364,0.923677499,0,1.0
135,KCNH4,1.146718928,0.197511817,-0.278510733,0.43145883,0.652749388,0,0
136,DGAT2,-1.017272608,-0.024706344,3.465649906,0.896553977,0.956531818,0,0
137,KCNH8,1.171634894,0.228523066,4.367976539,0.491399829,0.701979474,0,0
138,FBXO16,-1.024447373,-0.034845873,3.384477873,0.850009592,0.935791244,0,0
139,STX8,1.011984015,0.017186502,6.80088979,0.882560323,0.950309128,0,0
140,STX7,1.138622473,0.18728948,7.185427291,0.152176058,0.360793343,0,0
141,FGD5P1,1.709117443,0.773251536,-1.0048722,0.104632324,0.291303224,0,0
142,LOC102723694,-1.414784596,-0.500582417,6.586605098,0.006102326,0.057281348,0,0
143,FBXO15,-1.146584451,-0.19734262,2.26867095,0.33742324,0.568461571,0,0
144,LOC102723696,-1.124593796,-0.169403993,3.040240522,0.308245062,0.540419363,0,0
145,FBXO10,1.362472324,0.446226924,4.236649601,0.000913488,0.01907432,0,0
146,NEAT1,-1.395785592,-0.481077345,11.87261661,0.002194622,0.032128228,0,0
147,FBXO11,1.046879118,0.066094865,7.943158085,0.382511378,0.608872061,0,0
148,PIAS2,-1.007626435,-0.010960877,6.833053553,0.904246509,0.960276388,0,0
149,LENEP,-1.046718849,-0.065873983,-1.17396505,0.802753643,0.908168398,0,0
150,PIAS1,-1.009157021,-0.01315067,8.071327302,0.872190738,0.945207632,0,1.0
151,MINPP1,1.216316359,0.282518516,4.865335634,0.004636912,0.049173648,0,0
152,DMTF1,-1.019405621,-0.027728213,7.705923077,0.726425286,0.864350819,0,0
153,PKP2,1.307198366,0.386478085,4.791644541,0.17881332,0.39536101,0,0
154,PKP1,1.211910733,0.277283437,6.802307757,0.680815239,0.835262163,0,0
155,PKP4,-1.16707208,-0.222893667,8.118476683,0.073345818,0.238121076,0,0
156,LOC401463,1.088939678,0.122924038,-0.744133209,0.67112964,0.828512703,0,0
157,PKP3,1.126900829,0.172360559,5.11147408,0.538816134,0.737641414,0,0
158,MIR210HG,1.75985976,0.815460468,-0.09539456,0.090774117,0.269084307,0,0
159,BLK,1.967080054,0.976055672,1.646036997,0.030089801,0.140984646,0,0
160,BLM,1.449954181,0.536007311,4.579917753,0.003314094,0.04088968,0,0
161,KCNE3,1.325008434,0.406001542,4.557802298,0.134367205,0.336032906,0,0
162,PDZRN3-AS1,1.137183704,0.18546533,-1.141933422,0.532276806,0.733614681,0,0
163,KCNE4,1.245730742,0.316992271,3.911182974,0.472890562,0.688366051,0,0
164,IREB2,1.097110924,0.133709397,6.929959048,0.09483118,0.275879628,0,0
165,LOC100289495,-1.147065749,-0.197948088,0.408681941,0.246844793,0.475330259,0,0
166,FBXO48,1.099772994,0.137205766,2.223020911,0.24977514,0.479046519,0,0
167,FBXO45,1.450139756,0.536191945,4.742797598,0.012538602,0.084968953,0,0
168,FBXO43,1.209010533,0.273826814,1.036263201,0.26503238,0.495585743,0,0
169,FBXO44,-1.050922958,-0.071656911,3.578930758,0.524334999,0.727685482,0,0
170,NPAS2,-1.48405928,-0.569548721,6.73113538,0.003168103,0.040140126,0,0
171,FBXO41,1.339320156,0.421500869,3.990566887,0.016753933,0.100504731,0,0
172,CCDC144A,1.314165565,0.394147045,5.040552688,0.286438765,0.517699524,0,0
173,FBXO42,-1.024436917,-0.034831149,6.607255238,0.624253816,0.797525482,0,0
174,NPAS3,-1.053035611,-0.074554226,7.893715486,0.823431671,0.920481188,0,0
175,CCDC144B,1.111599432,0.152637003,5.236662401,0.535281115,0.735184539,0,0
176,LOC642474,3.019488286,1.594304076,-2.371978191,0.059877264,0.211171991,0,0
177,FAM111A-DT,-1.061526471,-0.086140348,2.640348247,0.415234909,0.637642244,0,0
178,MBIP,-1.577433675,-0.657579347,7.324728225,0.003671601,0.043045002,0,0
179,BMF,1.122834344,0.167145097,5.281326081,0.245816711,0.474753316,0,0
180,NEK8,-1.172520972,-0.229613727,3.019946403,0.078147689,0.247458543,0,0
181,NEK9,-1.038239106,-0.054138733,6.358551186,0.48467943,0.697010817,0,0
182,NEK4,1.033469294,0.047495525,5.332488346,0.546377941,0.743031964,0,0
183,RASL10B,-1.691378467,-0.758199517,0.748099683,0.005928601,0.056337663,0,0
184,NEK5,-1.19795784,-0.260577136,3.723224774,0.184344404,0.40313618,0,0
185,HTR1F,-1.187231953,-0.247601826,4.499031015,0.288128876,0.519377772,0,0
186,FBXO38,-1.347201197,-0.429965325,6.950699379,5.54554e-06,0.000641402,0,0
187,LOC401478,1.442099793,0.528171002,5.369143119,0.191177513,0.41179578,0,0
188,NEK6,-1.068435048,-0.095499206,6.975401197,0.427771362,0.649505758,0,0
189,FBXO39,1.335484873,0.417363635,0.269837195,0.139043363,0.342380434,0,0
190,NEK7,-1.078329781,-0.108798459,8.445393885,0.227750319,0.454122978,0,0
191,STYX,1.041029725,0.058011263,5.947922671,0.511103461,0.717510372,0,0
192,HTR1D,1.103520627,0.142113597,0.464300365,0.730856373,0.866599361,0,0
193,FBXO36,-1.093033073,-0.128337055,4.104666423,0.334549082,0.565539182,0,0
194,LOC100288175,-1.454432013,-0.54045586,0.170913676,0.072694406,0.236512996,0,0
195,FBXO34,-1.33322999,-0.414925675,7.576244907,0.000196206,0.00712819,0,0
196,FBXO32,1.302933597,0.38176356,6.718743968,0.063863376,0.218944331,0,0
197,FBXO33,-1.07992517,-0.110931349,5.586724757,0.179079582,0.395697942,0,0
198,FBXO31,-1.236090437,-0.3057843,5.578593569,0.002431751,0.03411005,0,0
199,FAM90A1,-1.107980825,-0.147932914,1.096696771,0.548722796,0.74470867,0,0
200,DRAP1,1.407589185,0.493226335,4.416408493,0.002958897,0.038526043,0,0
201,CELP,1.495405308,0.580536559,-1.985026516,0.33761147,0.568654576,0,0
202,MNAT1,-1.124651313,-0.169477778,7.926021563,0.165973864,0.379140204,0,1.0
203,SLC49A4,1.058927623,0.082603985,6.444910242,0.446378584,0.666752936,0,0
204,SLC49A3,-1.036467,-0.051674183,3.130773662,0.748077719,0.877705548,0,0
205,BCAR3,-1.00126512,-0.001824029,6.68835027,0.976593061,0.994634779,0,0
206,PIWIL1,-1.14194163,-0.19148891,-1.915234077,0.762589998,0.885799318,0,0
207,KCNK7,1.280625126,0.356848222,-0.500612453,0.157690053,0.368695339,0,0
208,ALAS1,1.181862538,0.241062246,5.56339448,0.088331942,0.265465604,0,0
209,ONECUT2,-1.798822376,-0.847052736,2.748633211,0.055752327,0.202933035,0,0
210,KCNK9,1.409291632,0.494970187,1.238308832,0.275165211,0.506488371,0,0
211,ONECUT3,7.635659941,2.932752853,-0.406224242,0.010895126,0.078410338,0,0
212,ONECUT1,-1.107164775,-0.146869949,1.975585674,0.693789426,0.84332732,0,0
213,LOC102724971,5.144084604,2.362914371,-2.237374261,0.005829228,0.055844126,0,0
214,EDRF1-DT,1.007654153,0.011000562,1.347323594,0.973557581,0.99319244,0,0
215,PPWD1,-1.045096383,-0.063636,6.05699082,0.472728242,0.688180419,0,0
216,NENF,1.101116799,0.138967508,4.659337405,0.361274482,0.590325898,0,0
217,TNFSF13B,1.261171429,0.334764392,5.372110999,0.066483455,0.224272519,0,0
218,LOC102723649,-2.113379021,-1.079551528,-0.570601363,0.018003292,0.104787851,0,0
219,LOC642496,5.425643862,2.439794353,-1.777569002,0.006632213,0.060005446,0,0
220,BOC,1.456790551,0.54279347,4.502029382,0.038307834,0.161428515,0,0
221,SPDL1,1.155578887,0.208615751,3.801733278,0.131347879,0.331870319,0,0
222,NEO1,-1.072749936,-0.101313815,7.072582465,0.462476405,0.680230046,0,0
223,BCAS2,1.157912146,0.211525796,4.710672175,0.14432277,0.35023506,0,0
224,BOK,-1.369354874,-0.453496376,1.664603819,0.025192287,0.128118555,0,0
225,MBL2,1.766733276,0.821084253,-1.45025679,0.304279752,0.536080967,0,0
226,SLC36A1,1.125227003,0.17021608,5.294759389,0.155516798,0.365602191,0,0
227,BCAS3,-1.06216148,-0.087003115,8.794292966,0.397548322,0.62253438,0,0
228,PIANP,1.131152461,0.177793394,0.590873631,0.362525337,0.591340493,0,0
229,MRPL15P1,-1.459702832,-0.545674693,-1.823969873,0.21455003,0.438954226,0,0
230,VPS13C,-1.072832204,-0.101424449,9.248550384,0.265061312,0.495592988,0,0
231,VPS13D,-1.189066103,-0.249828921,8.586096675,0.001204003,0.022254919,0,0
232,LOC100505728,1.175671778,0.233485348,-1.315262754,0.4485893,0.669246374,0,0
233,VPS13A,1.046359338,0.065378384,8.069865208,0.483659415,0.696303385,0,0
234,VPS13B,-1.064506891,-0.090185289,9.577893734,0.373790091,0.601433487,0,0
235,HTR3A,1.754243501,0.810849017,1.744815554,0.122874421,0.319386291,0,0
236,RABGGTB,1.032143536,0.045643614,5.555940317,0.655031876,0.817878402,0,0
237,RABGGTA,1.034349605,0.048723892,0.507665694,0.912603702,0.96415331,0,0
238,CD24P2,1.019959075,0.028511267,-0.871194066,0.977821066,0.995465735,0,0
239,HEATR6-DT,-1.019725869,-0.028181367,0.860262977,0.794810393,0.903850044,0,0
240,NEMF,-1.003859443,-0.005557283,7.10188075,0.942060018,0.978380392,0,0
241,LOC102723654,-1.454634792,-0.540656988,4.071038363,0.026827516,0.132849205,0,0
242,LOC642484,1.343034947,0.425496846,1.328979389,0.348682528,0.579224176,0,0
243,LOC102723656,-1.772019748,-0.825394682,-0.968024949,0.055875464,0.203069629,0,0
244,C1D,1.131320877,0.17800818,4.677018565,0.059982527,0.211392448,0,0
245,BCAT1,1.030623812,0.043517831,7.823700162,0.89828051,0.957075468,0,0
246,TOLLIP-DT,1.0980731,0.1349741,-0.862600454,0.548608259,0.744706531,0,0
247,C1S,1.519598692,0.603690375,7.719171365,0.008610762,0.069656369,0,0
248,C1R,1.595343134,0.673866759,1.799848238,0.029112517,0.138740827,0,0
249,LOC284950,-1.218259576,-0.284821562,0.546821745,0.339388798,0.570086275,0,0
250,DRAM1,1.032863886,0.046650144,7.400313854,0.870380138,0.944858575,0,0
251,LOC102723665,1.51238273,0.59682328,-0.460075248,0.01958501,0.109887188,0,0
252,DRAM2,1.20651608,0.270847143,5.906879983,0.024889225,0.127165874,0,0
253,SLC36A4,-1.123008958,-0.167369436,6.342734959,0.167784305,0.381349901,0,0
254,BBLN,1.138237895,0.186802116,3.845831384,0.297071231,0.528702854,0,0
255,TSPOAP1,-1.077449291,-0.107619972,4.394843235,0.533078927,0.734057262,0,0
256,KCNJ1,-1.075726149,-0.105310853,0.455156262,0.67243017,0.829536045,0,0
257,KCNJ2,1.523673797,0.60755407,3.983548422,0.012621361,0.085109198,0,0
258,KCNJ5,1.587609087,0.666855725,3.367268706,0.019270814,0.109052405,0,0
259,COL26A1,1.530790975,0.6142773,1.80431289,0.052822971,0.195973123,0,0
260,LOC102723675,1.150985492,0.202869649,-1.010998575,0.569424937,0.75843954,0,0
261,GSTZ1,-1.139509331,-0.188412739,3.535774251,0.216388058,0.441208557,0,0
262,IL2RA,1.409278048,0.494956281,4.801923093,0.045103887,0.178408111,0,1.0
263,KCNK1,-1.178167091,-0.236544161,6.498326581,0.295496063,0.527264627,0,0
264,KCNK2,-1.380743296,-0.465445123,2.008636701,0.260999785,0.491115067,0,0
265,KCNK3,-1.564719524,-0.645904077,3.022223233,0.024218587,0.125358599,0,0
266,BCAR1,-1.156620577,-0.209915674,3.510746934,0.151802118,0.360209033,0,0
267,SLC23A3,-1.0451299,-0.063682267,1.658086535,0.737404857,0.870825832,0,0
268,LOC105375091,-1.362673498,-0.446439928,0.566910855,0.080374784,0.251646744,0,0
269,NOP56P3,-1.179916154,-0.238684344,-0.716445964,0.275466476,0.506822129,0,0
270,SLC23A1,-1.023780064,-0.033905818,1.353302168,0.853431368,0.936961423,0,0
271,LGALSL,1.374376798,0.458777586,4.478054142,0.039843956,0.165379594,0,0
272,CCP110,-1.267871822,-0.3424089,5.758740268,0.006500721,0.059276293,0,0
273,C4B,-1.8077198,-0.854171075,3.428437545,0.007006297,0.062130206,0,0
274,C4A,-1.587874812,-0.667097175,3.212218661,0.024269326,0.125424285,0,0
275,LGALS3,1.087201322,0.120619116,7.524304109,0.503285927,0.711660046,0,0
276,IL36A,-3.481362931,-1.799652222,-0.954292593,0.011311493,0.080071122,0,0
277,HMGN2P46,1.020852535,0.02977448,1.580549387,0.929423223,0.971982472,0,0
278,LOC100289511,1.493240334,0.578446383,-0.626399458,0.016494912,0.099683412,0,0
279,MCIDAS,-1.702300363,-0.767485616,1.001140459,0.020056833,0.111472796,0,0
280,FOXD3-AS1,1.410563666,0.496271784,-0.92029852,0.314430177,0.546611588,0,0
281,BSG,1.070620363,0.098446998,7.092202747,0.583960412,0.769663404,0,0
282,HMGN2P41,1.232536172,0.301629987,4.071389029,0.080648598,0.252144795,0,0
283,LGALS9,1.016971702,0.024279536,5.308175065,0.905181714,0.960856802,0,0
284,ATXN7L1,1.00917881,0.013181818,6.966119889,0.935271558,0.974674805,0,0
285,ATXN7L2,1.034526902,0.048971162,2.217635069,0.716590574,0.857933897,0,0
286,LGALS8,-1.018004702,-0.025744225,5.851366627,0.7808505,0.895596218,0,0
287,ATXN7L3,1.151574992,0.203608364,5.281166128,0.084228344,0.257914258,0,0
288,INHBA-AS1,1.020987043,0.029964558,-1.611690869,0.97511834,0.994015593,0,0
289,KRT89P,-1.480447509,-0.566033339,-1.235832906,0.06241038,0.216211681,0,0
290,LOC105375082,-1.139763134,-0.188734034,-0.325736691,0.605390213,0.784626975,0,0
291,LIMCH1,-1.328414266,-0.409705121,9.126512057,0.056068625,0.203584592,0,0
292,LOC105375081,1.619233163,0.695310743,-0.998158282,0.188862912,0.409082321,0,0
293,GOLPH3L,-1.013595516,-0.019482047,6.521057219,0.872759443,0.945389471,0,0
294,DRAIC,-1.034829283,-0.049392784,2.652882404,0.864869497,0.942238014,0,0
295,BTC,-1.046073137,-0.064983722,4.160654875,0.773880429,0.892102764,0,1.0
296,LOC102724946,-1.008925398,-0.012819503,1.686449577,0.932787954,0.973921251,0,0
297,LOC102724945,1.014876449,0.021304104,3.600406374,0.96875472,0.990848159,0,0
298,LOC102724948,1.448522786,0.534582379,-0.99686664,0.225217796,0.45172018,0,0
299,CFDP1,-1.166900542,-0.222681602,7.133770976,0.014179735,0.091739223,0,0
300,BTD,1.132716629,0.179786988,5.145981657,0.203661434,0.426380421,0,0
301,CRISPLD1,-1.271533899,-0.346569925,4.370420616,0.213126868,0.437017114,0,0
302,SOAT1,-1.004985437,-0.007174596,7.025256713,0.947720236,0.981829547,0,0
303,CRISPLD2,-1.163152525,-0.218040291,6.716252486,0.335497958,0.566408758,0,0
304,SUB1,1.179435019,0.238095936,7.125022073,0.030729364,0.142567527,0,0
305,KCNQ1,-1.275429029,-0.350982622,6.15938821,0.045826911,0.179741311,0,0
306,NINJ2,1.093885691,0.129461987,4.596237022,0.49084527,0.701491275,0,0
307,NINJ1,1.141372158,0.190769276,4.870811594,0.257984681,0.487745855,0,0
308,KCNQ3,-1.435742478,-0.521797003,8.313915411,0.062049338,0.215489343,0,0
309,LOC100506974,-1.190830922,-0.25196859,4.19961793,0.202764126,0.425400092,0,0
310,KCNQ4,-1.3756509,-0.460114402,2.446665589,0.060054044,0.211531413,0,0
311,LOC105375085,1.567095648,0.648093237,-1.860184649,0.226276953,0.452782839,0,0
312,KCNQ5,-1.282613493,-0.359086489,6.797980922,0.204981815,0.427921717,0,0
313,DOCK9-DT,-1.215176587,-0.281165978,0.458132201,0.218652006,0.443720437,0,0
314,CES3,-1.279700561,-0.355806272,2.774585753,0.275022136,0.50646069,0,0
315,CES2,-1.036904422,-0.052282919,4.859935186,0.681384527,0.835411511,0,0
316,CES1,1.248730105,0.320461693,2.569026044,0.493383785,0.703949249,0,0
317,CETP,1.428868179,0.514872826,2.496203065,0.018458058,0.106303382,0,0
318,GRB7,1.094974316,0.130897031,4.81876897,0.628203564,0.800245401,0,0
319,DHX8,1.191780349,0.253118364,6.186235386,0.010898474,0.078410338,0,0
320,DHX9,1.081825405,0.113467682,8.06787274,0.201726514,0.424179013,0,0
321,RRAD,-1.156599613,-0.209889525,3.665243353,0.500420499,0.709180039,0,0
